"Start.date","SI"
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,0
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-15,1
2011-06-29,1
2011-06-29,1
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,0
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-13,1
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,0
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
